G,C,B,A,Ia,Ib,Ic,Va,Vb,Vc
130,1,0,0,1,-72.51675796,41.76898976,-50.00237687,-0.36925631700000006,0.5870735220000001,-0.217817205
131,1,0,0,1,-58.98723397,42.76345611,-49.94526972,-0.37067768799999995,0.584645985,-0.213968296
132,1,0,0,1,-45.53059429,43.67620925,-49.9470014,-0.37203363799999994,0.582074346,-0.21004070800000002
133,1,0,0,1,-32.17556939,44.50746362,-50.00713167,-0.373340465,0.5793589379999999,-0.206018473
134,1,0,0,1,-18.904149800000003,45.30431319,-50.07834678,-0.374617728,0.5765007329999999,-0.201883005
135,1,0,0,1,-5.674203966,46.10747639,-50.11971397,-0.37585774899999996,0.573500135,-0.197642386
136,1,0,0,1,7.5711533079999995,46.92301016,-50.12496809,-0.377018869,0.5703581839999999,-0.193339315
137,1,0,0,1,20.87721208,47.73031668,-50.11450426,-0.378045839,0.567075356,-0.18902951699999998
138,1,0,0,1,34.27471919,48.52142353,-50.09609847,-0.378909251,0.56365276,-0.18474350899999997
139,1,0,0,1,47.7643506,49.31268807,-50.05320254,-0.379618926,0.560090942,-0.180472016
140,1,0,0,1,61.32452966,50.12858834,-49.96115395,-0.380210902,0.556391079,-0.176180177
141,1,0,0,1,74.90978789,50.96724821,-49.82165006,-0.380715002,0.552553786,-0.171838784
142,1,0,0,1,88.47169181,51.79768899,-49.66549721,-0.38114322700000003,0.548580307,-0.16743708
143,1,0,0,1,101.9665935,52.58183242,-49.53060714,-0.38149490799999997,0.544471326,-0.162976419
144,1,0,0,1,115.37526070000001,53.30856752,-49.42793079,-0.381774383,0.5402281529999999,-0.15845377
145,1,0,0,1,128.6994911,53.99626577,-49.33894255,-0.381989367,0.5358515389999999,-0.153862172
146,1,0,0,1,141.9636006,54.67395418,-49.23446785,-0.38214136,0.531342859,-0.14920149800000002
147,1,0,0,1,155.1965071,55.35345924,-49.10253859,-0.382212328,0.526702931,-0.144490604
148,1,0,0,1,168.4272284,56.02880414,-48.94899666,-0.382174036,0.521933193,-0.139759157
149,1,0,0,1,181.6709803,56.69004793,-48.78365407,-0.38200384299999995,0.517034531,-0.135030688
150,1,0,0,1,194.9316695,57.34114269,-48.60243657,-0.38170188200000005,0.5120084429999999,-0.130306561
151,1,0,0,1,208.1954396,57.99378738,-48.3935291,-0.38128509299999996,0.50685588,-0.125570787
152,1,0,0,1,221.4393239,58.65342113,-48.151383200000005,-0.380774788,0.501578402,-0.120803615
153,1,0,0,1,234.6320497,59.30679738,-47.88914225,-0.38018103299999995,0.49617702399999997,-0.11599599099999999
154,1,0,0,1,247.7480151,59.93272045,-47.62790561,-0.379505739,0.490653364,-0.111147625
155,1,0,0,1,260.76959480000005,60.51771148,-47.38106198,-0.37874800299999994,0.4850085,-0.10626049800000001
156,1,0,0,1,273.6956586,61.06775986,-47.14253871,-0.37791177,0.47924411100000003,-0.10133234099999999
157,1,0,0,1,286.5347198,61.598668999999994,-46.89645534,-0.376998625,0.473361332,-0.09636270699999999
